Date,Open,High,Low,Closed Price, Volume,Buy Sell,Vn-index,Dowjones,Private trade volume
8/18/2009,54500,55500,54000,55500,30400,17530,499.69,9543.519531,0
8/19/2009,55500,56500,55000,56500,67050,59300,508.46,9580.629883,0
8/20/2009,56500,57000,56000,56000,55800,-52560,513.9,9544.200195,0
8/21/2009,56000,57500,55000,55000,110920,-75040,519.17,9496.280273,0
8/24/2009,55000,57500,56000,57500,207640,92600,528.2,9310.599609,0
8/25/2009,57500,60000,59500,60000,340430,97140,528.85,9280.669922,0
8/26/2009,60000,63000,61000,61000,328480,14240,525.95,9344.610352,0
8/27/2009,61000,62000,60000,61000,153420,14810,527.04,9441.269531,0
8/28/2009,61000,62500,60500,62500,194370,-68520,536.53,9497.339844,0
8/31/2009,62500,64500,62500,64500,330060,-62120,546.78,9547.219727,0
9/1/2009,64500,65000,63000,63000,155950,-190800,547.69,9627.480469,0
9/3/2009,63000,62500,61000,61000,76170,-60460,540.81,9605.410156,0
9/4/2009,61000,62000,59000,59000,100520,-74600,528.49,9626.799805,0
9/7/2009,59000,58000,56500,,121200,98630,524.51,9683.410156,0
9/8/2009,59000,59500,58500,59500,154160,98630,537.81,9791.709961,0
9/9/2009,59500,60000,58000,59000,65900,-47810,536.11,9783.919922,0
9/10/2009,59000,59500,58000,59500,43660,41630,540.19,9820.200195,0
9/11/2009,59500,61000,59500,59500,83980,-74240,547.99,9778.860352,0
9/14/2009,59500,61500,59000,60000,175390,-90860,556.59,9829.870117,0
9/15/2009,60000,60000,58000,58000,111670,-13910,556.75,9748.549805,0
9/16/2009,58000,59000,57500,57500,78400,36430,556.98,9707.44043,0
9/17/2009,57500,59000,57000,58500,123390,10100,561.19,9665.19043,0
9/18/2009,58500,59000,58000,59000,111910,-24750,571.01,9789.360352,0
9/21/2009,59000,61500,59000,61500,96900,282600,577.97,9742.200195,0
9/22/2009,61500,64500,64500,64500,90190,639900,582.85,9712.280273,0
9/23/2009,64500,67500,67500,67500,213410,475340,582.11,9509.280273,0
9/24/2009,67500,67500,64500,65500,336700,-219200,574.78,9487.669922,0
9/25/2009,65500,67000,64000,67000,169710,-5990,582.84,9599.75,0
9/28/2009,67000,67000,65000,66000,119100,-122230,582.02,9731.25,0
9/29/2009,66000,66000,64000,65500,131210,-81950,582.59,9725.580078,0
9/30/2009,65500,65500,64000,64000,121720,-67740,580.9,9786.870117,0
10/1/2009,64000,67000,63500,63500,116420,-152090,568.99,9864.94043,0
10/2/2009,63500,63500,61000,61500,69310,-4960,549.73,9885.799805,0
10/5/2009,61500,64000,61500,63500,65960,42210,549,9871.05957,0
10/6/2009,63500,66500,65500,66000,231980,58570,552.03,10015.86035,0
10/7/2009,66000,67000,65500,66500,109390,37180,566.42,10062.94043,0
10/8/2009,66500,66500,64500,64500,59630,-51270,571.84,9995.910156,0
10/9/2009,64500,67500,66500,67500,146710,45070,581.99,10092.19043,0
10/12/2009,67500,70500,67500,69500,240400,-870,594.3,10041.48047,0
10/13/2009,69500,70000,68500,70000,158190,32000,589.89,9949.360352,0
10/14/2009,70000,73000,68500,72000,198440,-28140,605.65,10081.30957,0
10/15/2009,72000,75500,72500,75500,128150,-58680,617.38,9972.179688,0
10/16/2009,75500,75500,72000,75000,235680,-50380,609.54,9867.959961,425000
10/19/2009,75000,75500,73000,75500,202230,7090,607.11,9882.169922,0
10/20/2009,75500,79000,77000,79000,262620,89420,616.58,9762.69043,0
10/21/2009,79000,82000,79000,81000,128250,-31520,618.48,9962.580078,0
10/22/2009,81000,81000,79000,81000,289460,-27300,624.1,9712.730469,0
10/23/2009,81000,85000,82000,85000,452120,242170,615.68,9789.44043,0
10/26/2009,85000,88500,87000,87000,183000,-160530,609.34,9771.910156,0
10/27/2009,87000,85000,83000,85000,229550,-108880,596.78,9802.139648,0
10/28/2009,85000,86000,83000,85000,141680,-133950,599.86,10005.95996,0
10/29/2009,85000,83000,81000,83000,196400,-74590,581.49,10023.41992,0
10/30/2009,83000,85000,83000,85000,143230,-76090,587.12,10226.94043,0
11/2/2009,85000,84000,81000,82000,246230,-132620,561.71,10246.96973,0
11/3/2009,82000,83000,78500,78500,119110,-197250,539.65,10291.25977,0
11/4/2009,78500,82000,80000,82000,197230,39880,537.53,10197.46973,34310
11/5/2009,82000,86000,86000,86000,75700,184910,555.54,10270.46973,0
11/6/2009,86000,90000,88000,90000,271570,-35850,554.88,10406.95996,0
11/9/2009,90000,91000,89500,90000,122730,-37250,534.09,10437.41992,0
11/10/2009,90000,94000,89000,93000,114150,6830,524.4,10426.30957,0
11/11/2009,93000,97500,96000,97500,86080,83440,537.59,10332.44043,0
